,Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees,Building ID
26,Acct-000376,,,0.0, $-   ,0, $-   ,0,1
14,Acct-000265,,,0.0, $-   ,0, $-   ,0,1
13,Acct-000902,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,1
11,Acct-000784,Telecommunications,Regional Carrier/ISP,0.0," $5,255,400.00 ",45, $-   ,0,1
7,Acct-001264,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,1
4,Acct-001342,Energy,Oil & Gas,0.0," $69,150,000.00 ",5000, $-   ,0,1
67,Acct-000163,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,1
70,Acct-000852,Other Industry,Retail,0.0, $-   ,0, $-   ,0,1
125,Acct-000822,Telecommunications,Reseller,0.0," $1,844,000.00 ",15," $1,844,000.00 ",15,1
74,Acct-001312,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,1
124,Acct-001324,Professional Services,Commercial Systems Integrator,0.0, $-   ,0, $-   ,0,1
123,Acct-001325,Telecommunications,Wireless,0.0, $-   ,0, $-   ,0,1
120,Acct-000274,Telecommunications,Reseller,0.0, $-   ,0, $-   ,0,1
119,Acct-001148,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,1
117,Acct-000427,Government,Federal Government,0.0, $-   ,0, $-   ,0,1
116,Acct-000521,Telecommunications,Wireless,0.0," $191,170,246.00 ",294," $340,448,500.00 ",572,1
112,Acct-000310,Other Industry,Accelerator,0.0, $-   ,0, $-   ,0,1
111,Acct-001310,Media & Content,Gaming/eSports,0.0, $-   ,0, $-   ,0,1
110,Acct-001173,Media & Content,Internet Content & Software,0.0," $922,000.00 ",10," $922,000.00 ",10,1
108,Acct-001171,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,1
107,Acct-000930,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,1
103,Acct-001238,IT Infrastructure,Colo/Hosting,0.0," $781,944.51 ",12," $829,800.00 ",12,1
