,Building ID,X36 NPV_x,Estimated Build Cost,Profit Including Build Cost,Latitude,Longitude,State,Number of Accounts,Street Address,Postal Code,Net Classification,Type
176,Bldg-509739,31800.55,23852.8,7947.75,33.8134559,-84.39386400000001,GA,2,2140 Peachtree Rd NW,30309,Fiber Only,Retail: Sm Shopping Mall
178,Bldg-261775,23529.1,15816.1,7712.999999999998,33.777838,-84.3880292,GA,2,845 Spring St NW,30308,Fiber Only,Residential - Multi Tenant
180,Bldg-505169,26833.64,21079.6,5754.040000000001,33.9188809,-84.4917162,GA,2,2270 Northwest Pkwy SE,30067,Fiber Only,Office - Single Tenant
182,Bldg-422995,24574.12,18826.0,5748.119999999999,33.8520459,-84.378821,GA,1,3565 Piedmont Rd NE,30305,On-Net,Office - Multi Tenant
183,Bldg-135480,30539.23,24837.1,5702.130000000001,33.938896,-84.374323,GA,1,6751 Roswell Rd,30328,Fiber Only,Splice Point
184,Bldg-456759,19423.16,14399.8,5023.360000000001,33.9071627,-84.5830553,GA,1,1890 County Services Pkwy SW,30008,On-Net,Office - Multi Tenant
185,Bldg-487014,24883.66,20059.0,4824.66,33.8841172,-84.45391740000001,GA,1,3625 Cumberland Blvd SE,30339,Fiber Only,Office - Multi Tenant
186,Bldg-493925,37242.18,32704.72,4537.459999999999,33.9510643,-84.2299503,GA,1,3200 Pointe Pkwy,30092,Fiber Only,Office - Multi Tenant
187,Bldg-513915,21245.55,17045.5,4200.049999999999,33.952471,-84.54861700000001,GA,2,10 E Park Sq,30090,Fiber Only,Office - Single Tenant
189,Bldg-507547,20719.23,16891.9,3827.329999999998,33.951227200000005,-84.20794129999999,GA,1,706 N Peachtree St,30071,Fiber Only,Office - Multi Tenant
190,Bldg-501798,17070.57,13749.7,3320.869999999999,33.929466,-84.3459402,GA,1,1015 Crown Pointe Pkwy,30338,Fiber Only,Office - Multi Tenant
191,Bldg-295670,16947.56,14062.0,2885.5600000000013,33.781406700000005,-84.41045059999999,GA,1,710 10th St NW,30318,Fiber Only,Office - Single Tenant
192,Bldg-115421,25335.25,22644.88,2690.369999999999,33.8839473,-84.4722869,GA,1,2812 Spring Road Southeast,30339,On-Net,Neutral Data Center
193,Bldg-061841,15794.62,13213.6,2581.0200000000004,34.058015000000005,-84.26809300000001,GA,1,4550 N Point Pkwy,30022,Type 2,Office - Multi Tenant
194,Bldg-306566,17655.77,15091.3,2564.470000000001,33.8500931,-84.2584985,GA,1,2244 Henderson Mill Rd NE,30345,Fiber Only,Office - Multi Tenant
