Account ID,Industry,Vertical, Total BRR ,# Buildings on Net,# Buildings not on Net
Acct-001009,Media & Content,Media,96243.0,2.0,2
Acct-000595,Other Industry,Retail,17833.0,2.0,17
Acct-003319,Media & Content,Internet Content & Software,15093.0,2.0,3
Acct-001142,Government,Federal Research,564728.0,2.0,12
Acct-000357,Telecommunications,Regional Carrier/ISP,115243.4,2.0,2
Acct-001153,Media & Content,Cable & Satellite,327904.0,2.0,1
Acct-000657,IT Infrastructure,Cloud Service Provider,156091.0,2.0,1
Acct-000857,Professional Services,Commercial Systems Integrator,129084.0,2.0,2
Acct-001322,Finance,Finance - Other,150144.0,2.0,6
Acct-000846,Government,Federal Research,39457.0,1.0,2
Acct-002506,Media & Content,Internet Content & Software,5625.0,1.0,1
Acct-001263,Media & Content,AdTech,42611.0,1.0,2
Acct-001946,Other Industry,Telecommunications Equipment Provider,5290.65,1.0,7
Acct-001827,Other Industry,Real Estate / Construction,5052.0,1.0,1
Acct-003079,Media & Content,Internet Content & Software,3364.35,1.0,2
Acct-001205,Other Industry,Retail,139215.57,1.0,1
Acct-002389,Government,State/Local Government,2014.0,1.0,2
Acct-003329,Other Industry,Retail,70071.0,1.0,24
Acct-001493,Finance,Finance - Other,75100.0,1.0,1
Acct-001243,Research & Education,K-12 Education,2863.0,1.0,13
Acct-000398,Media & Content,Internet Content & Software,118909.0,1.0,6
Acct-003082,Media & Content,Internet Content & Software,2447.0,1.0,2
Acct-001167,Professional Services,Consulting / Other Professional Services,1131.44,1.0,2
Acct-001357,Finance,Finance - Other,108644.0,1.0,1
Acct-001450,Other Industry,Retail,1606.0,1.0,1
Acct-003298,Media & Content,Internet Content & Software,2034.0,1.0,1
Acct-002253,Professional Services,Consulting / Other Professional Services,6117.02,1.0,3
Acct-002418,Finance,Asset Management / Hedge Fund,49301.06,1.0,1
Acct-002062,Professional Services,Consulting / Other Professional Services,8811.0,1.0,1
Acct-003253,Energy & Manufacturing,Manufacturing - Other,22888.0,1.0,12
Acct-000010,Media & Content,Cable & Satellite,36652.26,1.0,1
Acct-001963,Professional Services,Consulting / Other Professional Services,8487.0,1.0,1
Acct-002447,Professional Services,Commercial Systems Integrator,6412.0,1.0,1
Acct-003335,Energy & Manufacturing,Manufacturing - Other,7637.91,1.0,1
Acct-000692,Telecommunications,Regional Carrier/ISP,12629.61,1.0,3
Acct-001261,Telecommunications,Regional Carrier/ISP,8183.29,1.0,1
Acct-003262,Energy & Manufacturing,Utilities,18710.0,1.0,2
Acct-002197,Finance,Finance - Other,20310.0,1.0,1
Acct-002441,Other Industry,Retail,17474.0,1.0,16
Acct-001514,Healthcare,Healthcare - Other,7242.0,1.0,2
Acct-001507,Energy & Manufacturing,Oil & Gas,15471.0,1.0,1
Acct-003590,Other Industry,Non-Healthcare Insurance,21043.0,0.0,1
Acct-003461,Energy & Manufacturing,Manufacturing - Other,1731.13,0.0,6
Acct-001156,Media & Content,Media,2141.0,0.0,1
Acct-003068,Energy & Manufacturing,Manufacturing - Other,107442.0,0.0,2
Acct-003246,Other Industry,Telecommunications Equipment Provider,1595.2,0.0,4
Acct-000619,Finance,Finance - Other,22215.0,0.0,2
Acct-003465,Healthcare,Healthcare - Other,2200.0,0.0,1
Acct-003513,Media & Content,Internet Content & Software,22584.0,0.0,1
Acct-003507,Energy & Manufacturing,Oil & Gas,9487.0,0.0,1
Acct-003548,Telecommunications,Wireless,37047.0,0.0,2
Acct-003464,Telecommunications,Regional Carrier/ISP,1490.36,0.0,1
Acct-003383,Energy & Manufacturing,Manufacturing - Other,10636.0,0.0,1
